DTG                  ,LOCATION            ,NAME                                            ,LATITUDE            ,LONGITUDE           ,ALTITUDE            ,P_NAP_MSL_10        ,P_STN_LEVEL_10      ,P_SENSOR_10         ,VV_10               ,WW_IND_CURR_10      ,WW_IND_PAST_10_10   ,WW_CURR_10          ,WW_PAST_10          ,AH_10               ,MOR_10              
4/1/2003 0:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1022.638,1022.388,1022,7380,0,0,10,10,5,7380
4/1/2003 0:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1022.637,1022.387,1022,6630,0,0,10,10,5,6630
4/1/2003 0:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1022.538,1022.288,1022,3700,1,0,10,10,5,3700
4/1/2003 0:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1022.438,1022.188,1022,4040,1,1,10,10,5,4040
4/1/2003 0:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1022.438,1022.188,1022,4280,1,1,10,10,5,4280
4/1/2003 1:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1022.237,1021.987,1022,5660,1,1,10,10,5,5660
4/1/2003 1:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1022.037,1021.787,1022,3520,1,1,10,10,5,3520
4/1/2003 1:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1021.737,1021.487,1021,4110,1,1,10,10,5,4110
4/1/2003 1:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1021.438,1021.188,1021,5200,0,1,10,10,5,5200
4/1/2003 1:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1021.238,1020.988,1021,4740,0,0,10,10,5,4740
4/1/2003 1:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1021.138,1020.888,1021,3650,1,0,10,10,5,3650
4/1/2003 2:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1020.937,1020.687,1021,3280,1,1,10,10,5,3280
4/1/2003 2:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1020.737,1020.487,1020,2608,1,1,10,10,5,2410
4/1/2003 2:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1020.637,1020.387,1020,2207,1,1,10,10,5,1850
4/1/2003 2:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1020.336,1020.087,1020,3060,1,1,10,10,5,3060
4/1/2003 2:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1020.236,1019.987,1020,3110,1,1,10,10,5,3110
4/1/2003 2:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1020.036,1019.787,1020,3430,1,1,10,10,5,3430
4/1/2003 3:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1019.836,1019.587,1020,2790,1,1,10,10,5,2690
4/1/2003 3:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1019.836,1019.587,1019,2815,0,1,10,10,5,2730
4/1/2003 3:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1019.636,1019.387,1019,2520,0,0,10,10,5,2280
4/1/2003 3:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1019.437,1019.187,1019,2450,1,0,10,10,5,2180
4/1/2003 3:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1019.237,1018.987,1019,2457,1,1,10,10,5,2190
4/1/2003 3:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1019.237,1018.987,1019,2106,1,1,10,10,5,1720
4/1/2003 4:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1019.037,1018.787,1019,1594,1,1,10,10,5,1130
4/1/2003 4:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1018.937,1018.687,1019,2026,1,1,10,10,5,1620
4/1/2003 4:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1018.836,1018.587,1019,4550,0,1,10,10,5,4550
4/1/2003 4:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1018.736,1018.487,1018,4550,0,0,10,10,5,4550
4/1/2003 4:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1018.737,1018.487,1018,2768,0,0,10,10,6,2760
4/1/2003 4:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1018.737,1018.487,1018,4990,0,0,10,10,8,4990
4/1/2003 5:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1018.537,1018.287,1018,6260,0,0,10,10,20,6260
4/1/2003 5:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1018.337,1018.087,1018,7740,0,0,10,10,78,7740
4/1/2003 5:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1018.236,1017.987,1018,9470,0,0,10,10,176,9470
4/1/2003 5:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1018.036,1017.787,1018,9490,0,0,10,10,346,9490
4/1/2003 5:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1017.936,1017.687,1018,9600,0,0,10,10,358,9600
4/1/2003 5:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1017.736,1017.487,1017,9810,0,0,10,10,1000,9810
4/1/2003 6:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1017.436,1017.187,1017,9700,0,0,10,10,1820,9700
4/1/2003 6:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1017.636,1017.387,1017,9430,0,0,10,10,2070,9430
4/1/2003 6:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1017.636,1017.387,1017,9580,0,0,10,10,2400,9580
4/1/2003 6:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1017.536,1017.287,1017,9710,0,0,10,10,2700,9710
4/1/2003 6:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1017.335,1017.087,1017,9430,0,0,10,10,2540,9430
4/1/2003 6:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1016.935,1016.686,1017,9660,0,0,10,10,2850,9660
4/1/2003 7:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1016.535,1016.286,1016,9650,0,0,10,10,2770,9650
4/1/2003 7:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1016.435,1016.186,1016,9700,0,0,10,10,2960,9700
4/1/2003 7:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1016.135,1015.886,1016,9560,0,0,10,10,3160,9560
4/1/2003 7:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1016.035,1015.786,1016,9640,0,0,10,10,4320,9640
4/1/2003 7:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1015.534,1015.286,1015,9320,0,0,10,10,5560,9320
4/1/2003 7:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1015.334,1015.086,1015,9460,0,0,10,10,5700,9460
4/1/2003 8:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1015.534,1015.286,1015,9670,0,0,10,10,3980,9670
4/1/2003 8:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1015.335,1015.086,1015,9890,0,0,4,10,6250,9890
4/1/2003 8:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1015.335,1015.086,1015,9820,0,0,4,4,7700,9820
4/1/2003 8:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1015.335,1015.086,1015,10600,0,0,1,4,8120,10600
4/1/2003 8:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1014.934,1014.686,1015,10000,0,0,1,1,9120,10000
4/1/2003 8:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1014.633,1014.386,1014,10800,0,0,1,1,7750,10800
4/1/2003 9:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1014.634,1014.386,1014,10500,0,0,1,1,7040,10500
4/1/2003 9:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1014.234,1013.986,1014,10100,0,0,2,1,4610,10100
4/1/2003 9:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1014.033,1013.786,1014,10500,0,0,2,2,6190,10500
4/1/2003 9:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1013.832,1013.585,1014,10600,0,0,2,2,8800,10600
4/1/2003 9:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1013.631,1013.385,1013,14600,0,0,2,2,10400,14600
4/1/2003 9:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1013.532,1013.285,1013,11600,0,0,2,2,11000,11600
4/1/2003 10:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1013.133,1012.885,1013,12700,0,0,2,2,11200,12700
4/1/2003 10:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1012.733,1012.485,1013,11100,0,0,3,2,10100,11100
4/1/2003 10:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1012.533,1012.286,1012,11600,0,0,3,3,9720,11600
4/1/2003 10:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1012.332,1012.085,1012,12100,0,0,3,3,9080,12100
4/1/2003 10:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1012.132,1011.885,1012,12100,0,0,3,3,8880,12100
4/1/2003 10:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1011.832,1011.585,1012,10700,0,0,3,3,9730,10700
4/1/2003 11:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1011.832,1011.585,1012,11300,0,0,3,3,10600,11300
4/1/2003 11:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1011.632,1011.385,1011,11200,0,0,3,3,10400,11200
4/1/2003 11:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1011.433,1011.185,1011,11300,0,0,2,3,9940,11300
4/1/2003 11:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1011.232,1010.985,1011,11200,0,0,1,2,10500,11200
4/1/2003 11:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1011.032,1010.785,1011,12000,0,0,1,1,10300,12000
4/1/2003 11:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1010.832,1010.585,1011,12200,0,0,1,1,10200,12200
4/1/2003 12:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1010.732,1010.485,1010,12000,0,0,3,1,10200,12000
4/1/2003 12:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1010.331,1010.085,1010,11900,0,0,2,3,12200,11900
4/1/2003 12:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1009.931,1009.685,1010,12300,0,0,3,2,11900,12300
4/1/2003 12:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1009.631,1009.385,1009,12200,0,0,1,3,10000,12200
4/1/2003 12:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1009.331,1009.085,1009,13000,0,0,1,1,8840,13000
4/1/2003 12:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1009.231,1008.985,1009,12000,0,0,1,1,8500,12000
4/1/2003 13:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1008.931,1008.685,1009,12300,0,0,1,1,8170,12300
4/1/2003 13:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1008.931,1008.685,1009,12100,0,0,1,1,8760,12100
4/1/2003 13:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1008.531,1008.285,1008,11800,0,0,1,1,7900,11800
4/1/2003 13:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1008.132,1007.885,1008,11200,0,0,1,1,6080,11200
4/1/2003 13:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1007.932,1007.685,1008,11700,0,0,1,1,4540,11700
4/1/2003 13:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1007.732,1007.485,1007,10600,8,0,81,1,3400,10600
4/1/2003 14:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1007.431,1007.185,1007,9540,5,8,51,81,2620,9540
4/1/2003 14:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1007.232,1006.985,1007,7970,6,5,57,51,1930,7970
4/1/2003 14:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1007.032,1006.785,1007,6550,8,6,81,57,1840,6550
4/1/2003 14:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1007.032,1006.785,1007,7220,8,8,81,81,1540,7220
4/1/2003 14:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1006.932,1006.685,1007,6730,8,8,81,81,1870,6730
4/1/2003 14:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1006.732,1006.485,1006,6230,6,8,61,81,1630,6230
4/1/2003 15:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1006.632,1006.385,1006,5850,6,6,62,61,1460,5850
4/1/2003 15:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1006.532,1006.285,1006,5140,6,6,62,62,1170,5140
4/1/2003 15:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1006.533,1006.286,1006,4150,6,6,62,62,1440,4150
4/1/2003 15:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1006.334,1006.086,1006,3980,6,6,63,62,598,3980
4/1/2003 15:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1006.134,1005.886,1006,3840,6,6,62,63,1020,3840
4/1/2003 15:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1005.734,1005.486,1006,5620,6,6,62,62,1520,5620
4/1/2003 16:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1005.434,1005.186,1005,5090,6,6,62,62,840,5090
4/1/2003 16:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1005.133,1004.886,1005,5220,6,6,62,62,977,5220
4/1/2003 16:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1005.133,1004.886,1005,4160,6,6,62,62,736,4160
4/1/2003 16:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.933,1004.686,1005,4040,6,6,62,62,646,4040
4/1/2003 16:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.833,1004.586,1004,3740,6,6,62,62,538,3740
4/1/2003 16:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.433,1004.186,1004,3910,6,6,62,62,510,3910
4/1/2003 17:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.233,1003.986,1004,4150,6,6,62,62,465,4150
4/1/2003 17:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.933,1003.685,1004,3970,6,6,62,62,359,3970
4/1/2003 17:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.532,1003.285,1003,4120,6,6,62,62,323,4120
4/1/2003 17:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.131,1002.885,1003,4810,6,6,62,62,299,4810
4/1/2003 17:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.031,1002.785,1003,4560,6,6,62,62,165,4560
4/1/2003 17:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.831,1002.585,1003,3530,6,6,63,62,92,3530
4/1/2003 18:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.23,1001.984,1002,4230,6,6,62,63,60,4230
4/1/2003 18:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.13,1001.884,1002,5270,6,6,62,62,30,5270
4/1/2003 18:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.029,1001.784,1002,4090,6,6,63,62,12,4090
4/1/2003 18:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.43,1002.184,1002,3890,6,6,63,63,7,3890
4/1/2003 18:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.43,1002.184,1002,6980,6,6,62,63,6,6980
4/1/2003 18:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.43,1002.184,1002,9560,6,6,62,62,5,9560
4/1/2003 19:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.729,1001.484,1002,11800,6,6,61,62,5,11800
4/1/2003 19:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.729,1001.484,1001,12100,6,6,61,61,5,12100
4/1/2003 19:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.029,1001.784,1002,10700,0,6,23,61,5,10700
4/1/2003 19:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.228,1001.984,1002,10900,8,0,81,23,5,10900
4/1/2003 19:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.128,1001.883,1002,11000,8,8,81,81,5,11000
4/1/2003 19:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.128,1001.883,1002,12000,8,8,81,81,5,12000
4/1/2003 20:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.928,1001.683,1002,10800,8,8,81,81,5,10800
4/1/2003 20:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.928,1001.683,1002,12700,8,8,81,81,5,12700
4/1/2003 20:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.927,1001.683,1002,14500,5,8,51,81,5,14500
4/1/2003 20:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.927,1001.683,1002,13200,0,5,23,51,5,13200
4/1/2003 20:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.926,1001.683,1002,12000,0,0,23,23,5,12000
4/1/2003 20:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.026,1001.783,1002,11300,0,0,23,23,5,11300
4/1/2003 21:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.926,1001.683,1002,11300,0,0,23,23,5,11300
4/1/2003 21:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.025,1001.782,1002,11500,0,0,23,23,5,11500
4/1/2003 21:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.925,1001.682,1002,11900,0,0,22,23,5,11900
4/1/2003 21:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.025,1001.782,1002,12300,0,0,2,22,5,12300
4/1/2003 21:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.124,1001.882,1002,12800,0,0,2,2,5,12800
4/1/2003 21:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.024,1001.782,1002,12800,0,0,1,2,5,12800
4/1/2003 22:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.024,1001.782,1002,12900,0,0,2,1,5,12900
4/1/2003 22:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.924,1001.682,1002,14300,0,0,2,2,5,14300
4/1/2003 22:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.024,1001.782,1002,14500,5,0,51,2,5,14500
4/1/2003 22:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.824,1001.582,1002,15700,8,5,81,51,5,15700
4/1/2003 22:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.824,1001.582,1001,25800,0,8,23,81,5,25800
4/1/2003 22:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.724,1001.482,1001,13300,8,0,81,23,5,13300
4/1/2003 23:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.924,1001.682,1001,16300,8,8,81,81,5,16300
4/1/2003 23:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.924,1001.682,1002,24700,0,8,23,81,5,24700
4/1/2003 23:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.925,1001.682,1002,28600,0,0,23,23,5,28600
4/1/2003 23:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.924,1001.682,1002,30900,0,0,23,23,5,30900
4/1/2003 23:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.825,1001.582,1001,26000,8,0,81,23,5,26000
4/1/2003 23:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.824,1001.582,1001,26400,0,8,23,81,5,26400
4/2/2003 0:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.724,1001.482,1001,23800,0,0,23,23,5,23800
4/2/2003 0:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.824,1001.582,1001,20900,0,0,23,23,5,20900
4/2/2003 0:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.724,1001.482,1001,20700,0,0,23,23,5,20700
4/2/2003 0:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.724,1001.482,1001,19100,0,0,23,23,5,19100
4/2/2003 0:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.624,1001.382,1001,18000,0,0,23,23,5,18000
4/2/2003 0:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.524,1001.282,1001,14200,8,0,81,23,5,14200
4/2/2003 1:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.624,1001.382,1001,14600,0,8,23,81,5,14600
4/2/2003 1:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.524,1001.282,1001,12100,8,0,80,23,5,12100
4/2/2003 1:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.524,1001.282,1001,10800,8,8,80,80,5,10800
4/2/2003 1:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.624,1001.382,1001,11400,8,8,81,80,5,11400
4/2/2003 1:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.624,1001.382,1001,19200,8,8,81,81,5,19200
4/2/2003 1:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.625,1001.382,1001,28000,0,8,23,81,5,28000
4/2/2003 2:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.725,1001.482,1001,24700,0,0,23,23,5,24700
4/2/2003 2:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.826,1001.582,1001,21200,0,0,23,23,5,21200
4/2/2003 2:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1001.926,1001.682,1001,20400,0,0,23,23,5,20400
4/2/2003 2:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.027,1001.783,1002,24800,0,0,23,23,5,24800
4/2/2003 2:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.027,1001.783,1002,34900,0,0,23,23,5,34900
4/2/2003 2:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.028,1001.783,1002,12500,6,0,58,23,5,12500
4/2/2003 3:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.228,1001.983,1002,16600,6,6,58,58,5,16600
4/2/2003 3:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.328,1002.084,1002,13600,8,6,81,58,5,13600
4/2/2003 3:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.329,1002.084,1002,22800,5,8,51,81,5,22800
4/2/2003 3:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.429,1002.184,1002,32600,5,5,51,51,5,32600
4/2/2003 3:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.529,1002.284,1002,38500,0,5,23,51,5,38500
4/2/2003 3:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.629,1002.384,1002,36900,0,0,23,23,5,36900
4/2/2003 4:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.729,1002.484,1002,35500,0,0,23,23,5,35500
4/2/2003 4:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.729,1002.484,1002,13800,5,0,51,23,5,13800
4/2/2003 4:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.729,1002.484,1002,36700,5,5,51,51,5,36700
4/2/2003 4:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1002.93,1002.684,1002,47000,0,5,22,51,5,47000
4/2/2003 4:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.03,1002.784,1003,49800,0,0,22,22,6,49800
4/2/2003 4:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.23,1002.984,1003,49100,0,0,22,22,9,49100
4/2/2003 5:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.23,1002.984,1003,43800,0,0,22,22,27,43800
4/2/2003 5:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.43,1003.184,1003,31800,0,0,22,22,90,31800
4/2/2003 5:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.63,1003.384,1003,27400,0,0,22,22,226,27400
4/2/2003 5:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1003.73,1003.484,1003,31200,0,0,1,22,431,31200
4/2/2003 5:40,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.03,1003.784,1003,20800,5,0,51,1,751,20800
4/2/2003 5:50,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.33,1004.084,1004,12100,8,5,81,51,768,12100
4/2/2003 6:00,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.329,1004.084,1004,11900,8,8,81,81,764,11900
4/2/2003 6:10,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.429,1004.184,1004,15200,8,8,81,81,1230,15200
4/2/2003 6:20,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.429,1004.184,1004,17200,0,8,23,81,2220,17200
4/2/2003 6:30,260_A_a             ,De Bilt locatie A                               ,52.098889,5.179722,1.9,1004.629,1004.384,1004,16500,0,0,23,23,2590,16500
